No,Nama,LLDikti,
1,AKADEMI ADMINISTRASI RUMAH SAKIT MATARAM,8,
2,Akademi Akuntansi (AKTAN) Boekittinggi,10,
3,Akademi Akuntansi Bandung,4,
4,Akademi Akuntansi Bina Insani,4,
5,Akademi Akuntansi Borobudur,3,
6,Akademi Akuntansi Dan Komputer Stephen Jambi,10,
7,Akademi Akuntansi Dan Manajemen Mitra Lampung,2,
8,Akademi Akuntansi Dan Manajemen Pembangunan,10,
9,Akademi Akuntansi Denpasar,8,
10,Akademi Akuntansi Effendi Harahap,6,
11,Akademi Akuntansi Indonesia Padang,10,
12,Akademi Akuntansi Jayabaya,3,
13,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,4,
14,Akademi Akuntansi Lampung,2,
15,Akademi Akuntansi Muhammadiyah Klaten,6,
16,Akademi Akuntansi Permata Harapan Batam,10,
17,Akademi Akuntansi PGRI Jember,7,
18,Akademi Akuntansi Riau,10,
19,Akademi Akuntansi YAI Jakarta,3,
20,Akademi Akuntansi YKPN,5,
21,Akademi Akuntansi YPK Medan,1,
22,AKADEMI AKUPUNKTUR SURABAYA,,
23,AKADEMI ANALIS FARMASI AL-ISLAM,,
24,AKADEMI ANALIS FARMASI DAN MAKANAN BANDA ACEH,,
25,AKADEMI ANALIS FARMASI DAN MAKANAN PUTRA INDONESIA,,
26,AKADEMI ANALIS FARMASI DAN MAKANAN SUNAN GIRI PONOROGO,7,
27,AKADEMI ANALIS KESEHATAN 17 AGUSTUS 1945 SEMARANG,,
28,AKADEMI ANALIS KESEHATAN AN NASHER,,
29,AKADEMI ANALIS KESEHATAN DELIMA HUSADA GRESIK,,
30,AKADEMI ANALIS KESEHATAN HARAPAN BANGSA,2,
31,AKADEMI ANALIS KESEHATAN MALANG,,
32,AKADEMI ANALIS KESEHATAN MANGGALA YOGYAKARTA,5,
33,AKADEMI ANALIS KESEHATAN MUHAMMADIYAH MAKASSAR,,
34,AKADEMI ANALIS KESEHATAN PEKALONGAN,,
35,AKADEMI ANALIS KESEHATAN PEKANBARU,,
36,AKADEMI ANALIS KESEHATAN PUTRA JAYA BATAM,,
37,AKADEMI ANALIS KESEHATAN WIDYA DHARMA,,
38,Akademi Angkatan Laut Surabaya,,
39,Akademi Angkatan Udara (AAU),,
40,AKADEMI AUDIOLOGI INDONESIA,,
41,Akademi Bahasa Asing Balikpapan,11,
42,Akademi Bahasa Asing Bina Insan Indonesia,2,
43,Akademi Bahasa Asing Colorado Samarinda,11,
44,Akademi Bahasa Asing Dian Cipta Cendikia,2,
45,Akademi Bahasa Asing Harapan Bangsa,6,
46,Akademi Bahasa Asing Internasional Bandung,4,
47,Akademi Bahasa Asing Permata Harapan,10,
48,Akademi Bahasa Asing Permata Hati Tarakan,11,
49,Akademi Bahasa Asing Persada Bunda,10,
50,Akademi Bahasa Asing Sinema Yogyakarta,5,
51,Akademi Bahasa Asing St Pignatelli,6,
52,Akademi Bahasa Asing UMI Makassar,9,
53,Akademi Bahasa Asing Widya Dharma,11,
54,AKADEMI BAKTI KEMANUSIAAN PALANG MERAH INDONESIA,,
55,Akademi Enterpreneurship Terang Bangsa,6,
56,AKADEMI FARMASI  YARSI  PONTIANAK,,
57,AKADEMI FARMASI AL-ISHLAH CILEGON,,
58,AKADEMI FARMASI BHUMI HUSADA,,
59,AKADEMI FARMASI BINA FARMASI,,
60,AKADEMI FARMASI BUMI SILIWANGI,,
61,AKADEMI FARMASI DWI FARMA,,
